server,shots,result,winner
O,SS N C S,Didn't reach,M
M,L S R C R R R N,Hit into net,O
O,SS R S R N N N,Hit into net,O
O,SS R C C C C D,Hit away,O
O,SS N C C C S R R,Hit into net,M
M,L S R S R,Hit out,M
M,L C S R S,Hit into net,M
M,L C S R C R,Hit into net,O
O,SS N N C R CN N C BC S R R C R S,Hit into net,O
O,SS N C C S R N CN C D CN C R D C C C D CN C C BC C C D N C D R C,Miss,M
M,L C D N C D,Hit into net,O
O,SS C,Left in,M
M,L S R C D,Unknown,M
M,L C C C D C S R R C D C D N R C S S R C S,Left in,M
M,L C S C D,Hit away,M
M,L D R C C C D R C D,Miss,O
O,SS N C D,Hit into net,M
M,L S,Hit away,O
O,SS R C R R R N,Hit out,O
O,SS R C D N C C S R R C R C D N N C,Hit into net,O
